Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Stefon Diggs,BUF,30,WR,8,8,90,64,71.1%,748,11.7,6,37,55.6,55,8.3,8.0,93.5,1,DiggSt00
2,Tyreek Hill,MIA,29,WR,8,8,87,61,70.1%,1014,16.6,8,45,60.9,69,11.7,7.6,126.8,0,HillTy00
3,Puka Nacua,LAR,22,WR,8,8,89,61,68.5%,795,13.0,2,38,58.4,37,8.9,7.6,99.4,1,NacuPu00
4,A.J. Brown,PHI,26,WR,8,8,83,60,72.3%,939,15.7,5,43,57.8,59,11.3,7.5,117.4,0,BrowAJ00
5,Ja'Marr Chase,CIN,23,WR,7,7,85,60,70.6%,656,10.9,4,40,64.7,63,7.7,8.6,93.7,1,ChasJa00
6,Amon-Ra St. Brown,DET,24,WR,7,7,78,57,73.1%,665,11.7,3,33,62.8,44,8.5,8.1,95.0,1,StxxAm00
7,Adam Thielen,CAR,33,WR,7,7,70,57,81.4%,581,10.2,4,35,62.9,31,8.3,8.1,83.0,0,ThieAd00
8,Keenan Allen,LAC,31,WR,7,7,74,54,73.0%,643,11.9,4,28,56.8,42,8.7,7.7,91.9,1,AlleKe00
9,Travis Kelce,KAN,34,TE,7,7,68,54,79.4%,583,10.8,4,31,64.7,53,8.6,7.7,83.3,0,KelcTr00
10,T.J. Hockenson,MIN,26,TE,8,5,68,53,77.9%,478,9.0,3,27,51.5,24,7.0,6.6,59.8,1,HockTJ00
11,Evan Engram,JAX,29,TE,8,7,61,51,83.6%,434,8.5,0,19,55.7,34,7.1,6.4,54.3,2,EngrEv00
12,Michael Pittman Jr.,IND,26,WR,8,8,78,50,64.1%,529,10.6,3,20,42.3,75,6.8,6.3,66.1,1,PittMi01
13,Davante Adams,LVR,31,WR,8,8,78,47,60.3%,539,11.5,3,32,56.4,32,6.9,5.9,67.4,0,AdamDa01
14,CeeDee Lamb,DAL,24,WR,7,7,56,46,82.1%,633,13.8,3,29,69.6,49,11.3,6.6,90.4,1,LambCe00
15,Zay Flowers,BAL,23,WR,8,8,61,44,72.1%,461,10.5,1,19,54.1,52,7.6,5.5,57.6,0,FlowZa00
16,D.J. Moore,CHI,26,WR,8,8,57,44,77.2%,691,15.7,5,31,63.2,58,12.1,5.5,86.4,0,MoorD.00
17,Chris Olave,NOR,23,WR,8,6,77,44,57.1%,517,11.8,1,27,51.9,45,6.7,5.5,64.6,0,OlavCh00
18,Christian Kirk,JAX,27,WR,8,8,60,43,71.7%,520,12.1,3,23,60.0,45,8.7,5.4,65.0,1,KirkCh01
19,Sam LaPorta,DET,22,TE,8,6,59,43,72.9%,434,10.1,4,22,52.5,45,7.4,5.4,54.3,0,LaPoSa01
20,Terry McLaurin,WAS,28,WR,8,8,63,42,66.7%,495,11.8,2,23,50.8,32,7.9,5.3,61.9,0,McLaTe00
21,Josh Downs,IND,22,WR,8,6,56,40,71.4%,473,11.8,2,20,57.1,59,8.4,5.0,59.1,0,DownJo00
22,Alvin Kamara,NOR,28,RB,5,5,44,39,88.6%,228,5.8,1,12,43.2,25,5.2,7.8,45.6,0,KamaAl00
23,DeVonta Smith,PHI,25,WR,8,8,57,39,68.4%,482,12.4,3,18,45.6,63,8.5,4.9,60.3,0,SmitDe07
24,Garrett Wilson,NYJ,23,WR,7,7,68,39,57.4%,469,12.0,2,20,44.1,68,6.9,5.6,67.0,0,WilsGa00
25,Marquise Brown,ARI,26,WR,8,8,69,38,55.1%,416,10.9,4,26,47.8,41,6.0,4.8,52.0,0,BrowMa04
26,Chris Godwin,TAM,27,WR,7,7,56,38,67.9%,452,11.9,1,25,53.6,42,8.1,5.4,64.6,0,GodwCh00
27,Jakobi Meyers,LVR,27,WR,7,7,57,38,66.7%,404,10.6,5,24,54.4,25,7.1,5.4,57.7,0,MeyeJa01
28,Michael Thomas,NOR,30,WR,8,5,61,38,62.3%,439,11.6,1,21,55.7,31,7.2,4.8,54.9,0,ThomMi05
29,Kendrick Bourne,NWE,28,WR,8,5,55,37,67.3%,406,11.0,4,15,49.1,36,7.4,4.6,50.8,1,BourKe00
30,Drake London,ATL,22,WR,8,8,57,37,64.9%,438,11.8,2,24,52.6,32,7.7,4.6,54.8,0,LondDr00
31,Jaylen Waddle,MIA,25,WR,7,7,53,37,69.8%,480,13.0,3,24,56.6,35,9.1,5.3,68.6,0,WaddJa00
32,Jordan Addison,MIN,21,WR,8,5,52,36,69.2%,482,13.4,7,21,53.8,62,9.3,4.5,60.3,0,AddiJo00
33,Justin Jefferson,MIN,24,WR,5,5,53,36,67.9%,571,15.9,3,28,64.2,52,10.8,7.2,114.2,1,JeffJu00
34,Darren Waller,NYG,31,TE,8,8,51,36,70.6%,384,10.7,1,18,58.8,27,7.5,4.5,48.0,0,WallDa01
