Rank,District,County,Per capita income,Median household income,Median family income,Households,Population
135,Boston,Suffolk,50344,81744,95750,271950,672814
326,Worcester,Worcester,30855,56746,71265,78780,203867
341,Springfield,Hampden,23161,43308,54646,58344,155770
134,Cambridge,Middlesex,65494,112565,147492,47777,116892
201,Quincy,Norfolk,44919,82500,97361,44515,100544
295,Lowell,Middlesex,36534,75130,89761,42285,114804
337,New Bedford,Bristol,27583,50581,62189,41395,100309
335,Fall River,Bristol,28561,49613,60181,40862,93339
296,Somerville,Middlesex,36257,61811,84722,39745,79816
332,Lynn,Essex,29541,63922,75627,36280,100233
328,Brockton,Plymouth,30508,68067,79124,35092,104216
327,Malden,Middlesex,30620,64489,77946,32285,65602
173,Barnstable,Barnstable,46996,82816,105750,30765,48556
340,Lawrence,Essex,23316,47542,52283,30291,87798
269,Medford,Middlesex,39485,94298,125828,28321,60708
267,Framingham,Middlesex,39507,87137,103394,27604,72362
18,Brookline,Norfolk,83318,122356,195101,26762,62620
29,Natick,Middlesex,75343,140647,193578,25540,36627
87,Plymouth,Plymouth,57027,82470,110833,24985,60987
210,Waltham,Middlesex,44491,94063,114680,24943,64655
177,Beverly,Essex,46645,91592,119420,24400,42448
177,Weymouth,Norfolk,46645,91592,119420,24400,57437
325,Chicopee,Hampden,31086,56509,68460,23852,55636
309,Taunton,Bristol,33862,66787,85478,23159,59076
216,Haverhill,Essex,44056,83570,106692,22808,67093
297,Peabody,Essex,36180,55938,70189,22208,54200
310,Revere,Suffolk,33749,73041,84176,21647,60720
175,Richmond,Berkshire,46695,90208,123646,21346,30671
292,Billerica,Middlesex,36846,67292,91667,21235,42119
24,Newton,Middlesex,81020,164607,201924,21038,88647
288,Pittsfield,Berkshire,37356,59522,77469,19290,43890
56,Shrewsbury,Worcester,54673,88377,117147,19231,38291
84,Falmouth,Middlesex,57906,110372,142171,18943,32526
229,Methuen,Essex,42944,72884,90663,18803,52536
34,North Andover,Essex,71327,94375,111667,18628,31468
275,Attleboro,Bristol,38942,81627,99010,17918,46146
305,Leominster,Worcester,34523,84120,100343,17896,43478
205,Marlborough,Middlesex,44775,86230,108694,17147,41505
52,Chelmsford,Middlesex,60517,145552,175708,17136,36392
322,Everett,Middlesex,31599,71510,74657,17007,48368
330,Fitchburg,Worcester,30300,60466,74731,16398,41796
