District,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP
Boston,350000,MATH,4649,26,860,5,3789,21,7415,41,6070,33,18134,99,484,47,13112
Worcester,3480000,MATH,2418,24,254,3,2164,22,4417,44,3216,32,10051,99,484,50,7215
Springfield,2810000,MATH,1555,16,104,1,1451,15,4594,48,3423,36,9572,99,480,45,6760
Lowell,1600000,MATH,1739,26,212,3,1527,23,3095,47,1820,27,6654,99,486,51,4877
Lynn,1630000,MATH,922,14,72,1,850,13,3085,47,2576,39,6583,99,478,43,4986
Brockton,440000,MATH,1226,19,96,1,1130,18,2904,45,2314,36,6444,99,481,51,4842
Lawrence,1490000,MATH,1012,17,75,1,937,16,2596,44,2249,38,5857,100,479,50,4410
New Bedford,2010000,MATH,1247,22,143,3,1104,20,2715,48,1680,30,5642,99,484,43,4217
Newton,2070000,MATH,3571,68,1014,19,2557,49,1324,25,375,7,5270,99,510,57,4120
Fall River,950000,MATH,942,19,74,2,868,18,2120,44,1782,37,4844,99,480,43,3375
Quincy,2430000,MATH,1822,43,354,8,1468,35,1701,40,688,16,4211,100,497,52,3165
Framingham,1000000,MATH,899,22,119,3,780,20,1681,42,1416,35,3996,99,482,47,2836
Haverhill,1280000,MATH,957,25,110,3,847,22,1838,48,998,26,3793,99,486,50,2955
Taunton,2930000,MATH,822,22,80,2,742,20,1827,50,1009,28,3658,99,484,45,2865
Lexington,1550000,MATH,2586,79,1156,35,1430,44,528,16,163,5,3277,99,520,59,2566
Revere,2480000,MATH,833,26,96,3,737,23,1598,50,797,25,3228,100,487,48,2441
Wachusett,7750000,MATH,1711,54,243,8,1468,46,1236,39,218,7,3165,99,502,52,2542
Methuen,1810000,MATH,830,27,87,3,743,24,1492,48,781,25,3103,100,486,49,2369
Everett,930000,MATH,607,20,58,2,549,18,1474,49,937,31,3018,99,482,47,2127
Plymouth,2390000,MATH,1265,42,141,5,1124,37,1372,46,376,12,3013,99,495,47,2348
Chicopee,610000,MATH,782,26,60,2,722,24,1481,50,689,23,2952,99,487,48,2177
Brookline,460000,MATH,2054,70,634,22,1420,48,699,24,194,7,2947,99,511,57,2200
Arlington,100000,MATH,1991,70,449,16,1542,54,722,25,150,5,2863,99,509,56,2248
Shrewsbury,2710000,MATH,1793,65,493,18,1300,47,752,27,201,7,2746,100,509,55,2163
Malden,1650000,MATH,866,32,143,5,723,27,1093,41,724,27,2683,99,488,52,1991
Peabody,2290000,MATH,873,33,68,3,805,30,1261,47,548,20,2682,99,490,48,2028
Leominster,1530000,MATH,957,36,158,6,799,30,1201,45,516,19,2674,100,493,53,2020
