Date,League,Winner
2023,NFL,Kansas City
2022,NFL,Los Angeles
2021,NFL,Tampa Bay
2020,NFL,Kansas City
2019,NFL,Boston
2018,NFL,Philadelphia
2017,NFL,Boston
2016,NFL,Denver
2015,NFL,Boston
2014,NFL,Seattle
2013,NFL,Baltimore
2012,NFL,New York City
2011,NFL,Green Bay
2010,NFL,New Orleans
2009,NFL,Pittsburgh
2008,NFL,New York City
2007,NFL,Indiana
2006,NFL,Pittsburgh
2005,NFL,Boston
2004,NFL,Boston
2003,NFL,Tampa Bay
2002,NFL,Boston
2001,NFL,Baltimore
2000,NFL,St. Louis
1999,NFL,Denver
1998,NFL,Denver
1997,NFL,Green Bay
1996,NFL,Dallas
1995,NFL,Bay Area
1994,NFL,Dallas
1993,NFL,Dallas
1992,NFL,D.C.
1991,NFL,New York City
1990,NFL,Bay Area
1989,NFL,Bay Area
1988,NFL,D.C.
1987,NFL,New York City
1986,NFL,Chicago
1985,NFL,Bay Area
1984,NFL,Los Angeles
1983,NFL,D.C.
1982,NFL,Bay Area
1981,NFL,Bay Area
1980,NFL,Pittsburgh
1979,NFL,Pittsburgh
1978,NFL,Dallas
1977,NFL,Bay Area
1976,NFL,Pittsburgh
1975,NFL,Pittsburgh
1974,NFL,Miami
1973,NFL,Miami
1972,NFL,Dallas
1971,NFL,Baltimore
1970,NFL,Kansas City
1969,NFL,New York City
1968,NFL,Green Bay
1967,NFL,Green Bay
